,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,98027505000000.0,117027505000000.0,10,0.808194704787239,98027505000000.0,0.0
1,NU,Fermilab_2,161772430000001.0,178772430000001.0,14,0.9659607970556205,44744925000000.0,0.0
2,NU,StarLight,180072430000002.0,193072430000002.0,24,0.8944600673500023,1300000000000.0,0.6923076923076924
3,NU,Argonne_2,216705805000003.0,235705805000003.0,15,0.9830647920223532,23633375000000.0,0.0
4,NU,Argonne_2,409060195000004.0,425060195000004.0,12,0.9755057811743593,173354390000000.0,0.0
5,NU,UChicago_PME,531162540000005.0,546162540000005.0,10,0.9547112456618598,106102345000000.0,0.0
6,NU,Fermilab_1,550664925000006.0,562664925000006.0,10,0.8440465382227591,4502385000000.0,0.0
7,NU,Argonne_1,598195485000007.0,612195485000007.0,16,0.8174890234939378,35530560000000.0,0.0
8,NU,Argonne_3,644024630000008.0,656024630000008.0,12,0.956416212087482,31829145000000.0,0.0
9,NU,UChicago_HC,705987950000009.0,721987950000009.0,15,0.8703638658296077,49963320000000.0,0.0
10,NU,UChicago_HC,779932470000010.0,792932470000010.0,19,0.899386964123236,57944520000000.0,0.0
11,NU,Fermilab_2,809544395000011.0,827544395000011.0,13,0.8153893422455905,16611925000000.0,0.0
12,NU,Argonne_1,873680170000012.0,884680170000012.0,23,0.9423776595050153,46135775000000.0,0.0
13,NU,StarLight,886180170000013.0,899180170000013.0,18,0.9181429463809739,1500000000000.0,0.5384615384615384
14,NU,Argonne_1,908092795000014.0,924092795000014.0,11,0.8219561073902214,8912625000000.0,0.0
15,NU,Fermilab_1,931497565000015.0,946497565000015.0,11,0.8472641327083023,7404770000000.0,0.0
16,NU,StarLight,951399950000016.0,963399950000016.0,18,0.8271130880904609,4902385000000.0,1.9166666666666665
17,NU,UChicago_PME,977819720000017.0,995819720000017.0,11,0.8295410931217303,14419770000000.0,0.05555555555555555
18,StarLight,Fermilab_1,1500000000000.0,18500000000000.0,24,0.8288319225439268,1500000000000.0,0.1764705882352941
19,StarLight,Argonne_2,20400000000001.0,32400000000001.0,14,0.8846652897945152,1900000000000.0,0.16666666666666669
20,StarLight,UChicago_HC,50853465000002.0,67853465000002.0,15,0.9099187375346119,18453465000000.0,0.0
21,StarLight,Fermilab_2,69553465000003.0,88553465000003.0,16,0.9057178526520043,1700000000000.0,0.0
22,StarLight,NU,90353465000004.0,104353465000004.0,15,0.928265633827875,1800000000000.0,0.5714285714285715
23,StarLight,NU,106053465000005.0,124053465000005.0,13,0.8520194895474447,1700000000000.0,0.5
24,StarLight,Fermilab_2,130166890000006.0,145166890000006.0,22,0.9021777768933066,6113425000000.0,0.0
25,StarLight,UChicago_HC,162076325000007.0,180076325000007.0,16,0.971045394857414,16909435000000.0,0.0
26,StarLight,Argonne_3,247018685000008.0,264018685000008.0,14,0.9537033997792509,66942360000000.0,0.0
27,StarLight,Fermilab_2,285924055000009.0,298924055000009.0,18,0.8418562085235571,21905370000000.0,0.15384615384615385
28,StarLight,Fermilab_2,300624055000010.0,310624055000010.0,17,0.9223159460743643,1700000000000.0,0.0
29,StarLight,Fermilab_2,325234795000011.0,343234795000011.0,15,0.9349378790869555,14610740000000.0,0.0
30,StarLight,Argonne_3,393487745000012.0,408487745000012.0,15,0.8720527769367287,50252950000000.0,0.06666666666666667
31,StarLight,Argonne_2,434003630000013.0,451003630000013.0,14,0.916993249682459,25515885000000.0,0.0
