,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,84204352000000.0,102204352000000.0,13,0.808194704787239,84204352000000.0,42.94444444444444
1,NU,UChicago_PME,138405542000001.0,153405542000001.0,12,0.9172246129625465,36201190000000.0,169.06666666666666
2,NU,StarLight,162405814000002.0,177405814000002.0,21,0.8334105857564544,9000272000000.0,485.9333333333333
3,NU,Argonne_1,180105848000003.0,191105848000003.0,15,0.863936327256533,2700034000000.0,119.63636363636363
4,NU,Argonne_1,197406018000004.0,216406018000004.0,10,0.9204478352759251,6300170000000.0,58.26315789473685
5,NU,Argonne_1,256707412000005.0,273707412000005.0,14,0.8790183416715935,40301394000000.0,107.05882352941177
6,NU,Argonne_2,288207854000006.0,307207854000006.0,11,0.8848212970888026,14500442000000.0,28.947368421052634
7,NU,UChicago_HC,346109146000007.0,357109146000007.0,12,0.9647562716785544,38901292000000.0,30.90909090909091
8,NU,UChicago_HC,405810744000008.0,423810744000008.0,11,0.868348530041227,48701598000000.0,55.611111111111114
9,NU,UChicago_HC,501913566000009.0,513913566000009.0,13,0.9228402871335908,78102822000000.0,65.0
10,NU,Argonne_1,557815028000010.0,568815028000010.0,11,0.8895716723977487,43901462000000.0,89.72727272727273
11,NU,Fermilab_1,595615912000011.0,610615912000011.0,12,0.9416998966573418,26800884000000.0,75.26666666666667
12,NU,UChicago_HC,613015946000012.0,623015946000012.0,11,0.8151038071122195,2400034000000.0,63.099999999999994
13,NU,UChicago_HC,697118870000013.0,713118870000013.0,14,0.8142817194106966,74102924000000.0,78.4375
14,NU,Fermilab_2,729219516000014.0,742219516000014.0,17,0.947246763189491,16100646000000.0,80.84615384615384
15,NU,UChicago_PME,756019924000015.0,770019924000015.0,11,0.9990599606775722,13800408000000.0,0.0
16,StarLight,Fermilab_1,1500000000000.0,18500000000000.0,24,0.8288319225439268,1500000000000.0,523.2941176470588
17,StarLight,Argonne_2,199901938000001.0,215901938000001.0,11,0.8846652897945152,181401938000000.0,54.0
18,StarLight,Argonne_3,242701972000002.0,261701972000002.0,16,0.8233419713562005,26800034000000.0,127.47368421052632
19,StarLight,Argonne_1,273902244000003.0,287902244000003.0,22,0.8104352515286296,12200272000000.0,515.7857142857143
20,StarLight,UChicago_HC,289602244000004.0,307602244000004.0,11,0.9612697869412714,1700000000000.0,172.0
21,StarLight,UChicago_HC,323902312000005.0,341902312000005.0,12,0.9253895997145107,16300068000000.0,185.5
22,StarLight,Argonne_3,385602380000006.0,396602380000006.0,12,0.8883858822908076,43700068000000.0,83.9090909090909
23,StarLight,UChicago_HC,409402448000007.0,426402448000007.0,13,0.9600007936022037,12800068000000.0,203.23529411764704
24,StarLight,UChicago_PME,445002584000008.0,455002584000008.0,14,0.8314503777027542,18600136000000.0,376.7
25,StarLight,Fermilab_1,470802584000009.0,480802584000009.0,11,0.8838507238759727,15800000000000.0,243.10000000000002
26,StarLight,UChicago_PME,482802618000010.0,501802618000010.0,13,0.8625299849976129,2000034000000.0,354.42105263157896
27,StarLight,Argonne_1,515302618000011.0,531302618000011.0,17,0.8174376481977504,13500000000000.0,490.9375
28,StarLight,UChicago_PME,535002652000012.0,545002652000012.0,11,0.8658644931416934,3700034000000.0,330.40000000000003
29,StarLight,Argonne_1,556902652000013.0,571902652000013.0,21,0.9932042575125248,11900000000000.0,100.66666666666667
30,StarLight,Fermilab_2,610703400000014.0,623703400000014.0,14,0.8600693505848356,38800748000000.0,97.0
31,StarLight,Fermilab_2,672104148000015.0,691104148000015.0,20,0.9843353718093957,48400748000000.0,26.89473684210526
32,StarLight,Argonne_2,780805950000016.0,797805950000016.0,15,0.9303772894234508,89701802000000.0,100.23529411764706
33,StarLight,NU,798805950000017.0,812805950000017.0,12,0.9612000594455401,1000000000000.0,362.2857142857143
34,StarLight,Argonne_2,817005950000018.0,827005950000018.0,12,0.9392084456003547,4200000000000.0,65.7
35,StarLight,Fermilab_2,843606460000019.0,855606460000019.0,13,0.9411416678454136,16600510000000.0,70.91666666666667
36,StarLight,UChicago_HC,875206494000020.0,894206494000020.0,11,0.8031966494344465,19600034000000.0,183.57894736842104
37,StarLight,Fermilab_2,961807616000021.0,977807616000021.0,13,0.9642603129090748,67601122000000.0,84.4375
38,StarLight,UChicago_HC,981307684000022.0,999307684000022.0,15,0.8573347553308854,3500068000000.0,243.27777777777777
39,UChicago_PME,Argonne_2,1200000000000.0,12200000000000.0,14,0.962845148118856,1200000000000.0,129.72727272727272
40,UChicago_PME,Fermilab_1,18900136000001.0,32900136000001.0,20,0.945712105362359,6700136000000.0,166.78571428571428
41,UChicago_PME,Argonne_1,55400340000002.0,65400340000002.0,13,0.9934871904987354,22500204000000.0,84.0
