,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_1,37633915000000.0,49633915000000.0,11,0.8637421676971033,37633915000000.0,21.75
1,NU,Argonne_1,60156955000001.0,75156955000001.0,19,0.8269708443148229,10523040000000.0,40.86666666666667
2,NU,UChicago_PME,90067290000002.0,106067290000002.0,19,0.8681368640870387,14910335000000.0,147.625
3,NU,Argonne_3,232275045000003.0,250275045000003.0,13,0.8589236500432774,126207755000000.0,16.444444444444443
4,NU,UChicago_HC,260382200000004.0,279382200000004.0,13,0.8909849345750102,10107155000000.0,62.73684210526316
5,NU,Fermilab_2,283789955000005.0,293789955000005.0,10,0.8662462388819541,4407755000000.0,4.3
6,NU,UChicago_PME,303696315000006.0,320696315000006.0,10,0.9203543238750839,9906360000000.0,77.0
7,NU,Argonne_1,332705060000007.0,346705060000007.0,11,0.8433322382585364,12008745000000.0,19.357142857142858
8,NU,Argonne_3,503237715000008.0,516237715000008.0,10,0.8569652847895756,156532655000000.0,14.538461538461538
9,NU,Fermilab_2,532749640000009.0,549749640000009.0,11,0.8921045795399081,16511925000000.0,6.176470588235294
10,NU,UChicago_HC,562555205000010.0,577555205000010.0,12,0.8633427766428783,12805565000000.0,5.266666666666667
11,NU,Argonne_2,732420965000011.0,743420965000011.0,10,0.9618722251983758,154865760000000.0,0.0
12,NU,Fermilab_1,817489740000012.0,835489740000012.0,10,0.9448839644926654,74068775000000.0,8.5
13,NU,Argonne_1,856516230000013.0,866516230000013.0,12,0.9100612605058009,21026490000000.0,22.6
14,NU,Fermilab_2,873826370000014.0,888826370000014.0,16,0.9457824733609137,7310140000000.0,7.6
15,NU,Fermilab_1,928059265000015.0,942059265000015.0,11,0.8135435336615915,39232895000000.0,10.357142857142858
16,StarLight,Fermilab_1,1800000000000.0,20800000000000.0,14,0.9206296300103124,1800000000000.0,17.894736842105264
17,StarLight,Argonne_1,23701765000001.0,41701765000001.0,20,0.9830760240981016,2901765000000.0,66.16666666666667
18,StarLight,Argonne_3,123842360000002.0,138842360000002.0,11,0.8969888653954576,82140595000000.0,23.400000000000002
19,StarLight,Argonne_2,151545890000003.0,166545890000003.0,12,0.895103772177982,12703530000000.0,24.266666666666666
20,StarLight,NU,168245890000004.0,182245890000004.0,13,0.8820224302176507,1700000000000.0,415.3571428571429
21,StarLight,Argonne_1,195949420000005.0,207949420000005.0,13,0.974588581150073,13703530000000.0,43.666666666666664
22,StarLight,NU,209549420000006.0,224549420000006.0,13,0.8626571374284095,1600000000000.0,413.26666666666665
23,StarLight,Argonne_3,290497075000007.0,303497075000007.0,11,0.98846360584246,65947655000000.0,2.0769230769230766
24,StarLight,Argonne_2,346916490000008.0,359916490000008.0,15,0.8913560957900494,43419415000000.0,33.07692307692308
25,StarLight,UChicago_PME,367529070000009.0,382529070000009.0,12,0.9014314179470758,7612580000000.0,144.93333333333334
26,StarLight,NU,384429070000010.0,396429070000010.0,13,0.9488488352457338,1900000000000.0,421.08333333333337
27,StarLight,Argonne_1,412741425000011.0,430741425000011.0,13,0.8253862915681656,16312355000000.0,44.05555555555556
28,StarLight,Argonne_2,528273800000012.0,546273800000012.0,13,0.9069929065289379,97532375000000.0,26.88888888888889
29,StarLight,NU,547573800000013.0,560573800000013.0,20,0.9728934774661059,1300000000000.0,649.4615384615385
30,StarLight,Argonne_2,625780860000014.0,642780860000014.0,10,0.8019452153018177,65207060000000.0,19.88235294117647
31,StarLight,UChicago_HC,657315455000015.0,675315455000015.0,12,0.9862912044216359,14534595000000.0,18.666666666666668
32,StarLight,NU,676715455000016.0,686715455000016.0,18,0.9192826649634305,1400000000000.0,594.7
33,StarLight,Argonne_2,749424280000017.0,767424280000017.0,12,0.8091676030216574,62708825000000.0,24.666666666666664
34,StarLight,Fermilab_2,778826965000018.0,791826965000018.0,16,0.861195891108184,11402685000000.0,14.307692307692307
