,Node,Start_time,End_time,Memory_size
0,NU,18518885000000.0,33518885000000.0,11
1,NU,103570385000003.0,119570385000003.0,12
2,NU,122108825000005.0,140108825000005.0,12
3,NU,150936400000003.0,168936400000003.0,12
4,NU,172340545000004.0,187340545000004.0,10
5,NU,181576540000006.0,193576540000006.0,13
6,NU,200473005000001.0,214473005000001.0,19
7,NU,214619415000007.0,225619415000007.0,22
8,NU,250300035000002.0,260300035000002.0,15
9,NU,289010325000006.0,306010325000006.0,11
10,NU,309420325000008.0,319420325000008.0,22
11,NU,319765560000003.0,338765560000003.0,17
12,NU,339022050000012.0,353022050000012.0,10
13,NU,340118720000012.0,358118720000012.0,11
14,NU,356478280000004.0,370478280000004.0,10
15,NU,387126330000009.0,399126330000009.0,11
16,NU,424457310000012.0,434457310000012.0,19
17,NU,468270325000005.0,480270325000005.0,17
18,NU,482170325000006.0,497170325000006.0,23
19,NU,501180765000007.0,520180765000007.0,15
20,NU,521280765000008.0,536280765000008.0,23
21,NU,548400100000009.0,564400100000009.0,14
22,NU,557946050000022.0,570946050000022.0,10
23,NU,584535920000010.0,601535920000010.0,11
24,NU,590153445000016.0,603153445000016.0,21
25,NU,605738515000010.0,623738515000010.0,13
26,NU,622261145000011.0,636261145000011.0,10
27,NU,637448055000011.0,647448055000011.0,21
28,NU,647594295000015.0,663594295000015.0,19
29,NU,676670315000012.0,689670315000012.0,12
30,NU,690036540000025.0,701036540000025.0,11
31,NU,703279855000013.0,717279855000013.0,11
32,NU,732190190000014.0,751190190000014.0,11
33,NU,758397485000009.0,776397485000009.0,12
34,NU,782720330000015.0,797720330000015.0,10
35,NU,798218725000028.0,809218725000028.0,10
36,NU,810203615000017.0,822203615000017.0,12
37,NU,823239410000016.0,838239410000016.0,10
38,NU,854983165000029.0,869983165000029.0,14
39,NU,870205675000027.0,883205675000027.0,11
40,NU,885205970000014.0,897205970000014.0,10
41,NU,920708970000016.0,939708970000016.0,12
42,NU,925604405000020.0,944604405000020.0,13
43,NU,958701085000017.0,969701085000017.0,11
44,NU,995223695000018.0,1011223695000018.0,15
45,StarLight,3103145000000.0,17103145000000.0,23
46,StarLight,4001500000000.0,21001500000000.0,11
47,StarLight,18817650000000.0,34817650000000.0,12
48,StarLight,18518885000000.0,33518885000000.0,22
49,StarLight,26500000000001.0,44500000000001.0,10
50,StarLight,34353465000001.0,44353465000001.0,22
51,StarLight,36417650000001.0,52417650000001.0,14
52,StarLight,44706635000002.0,59706635000002.0,16
53,StarLight,54117650000002.0,72117650000002.0,15
54,StarLight,60815720000000.0,71815720000000.0,24
55,StarLight,69228000000001.0,81228000000001.0,10
56,StarLight,72120190000003.0,89120190000003.0,28
57,StarLight,77217650000003.0,90217650000003.0,11
58,StarLight,89777665000001.0,102777665000001.0,28
59,StarLight,91617650000004.0,105617650000004.0,15
60,StarLight,103570385000003.0,119570385000003.0,24
61,StarLight,112331075000005.0,124331075000005.0,16
62,StarLight,122108825000005.0,140108825000005.0,24
63,StarLight,124437190000004.0,137437190000004.0,14
64,StarLight,135663325000002.0,146663325000002.0,11
65,StarLight,144645560000005.0,160645560000005.0,20
66,StarLight,150936400000003.0,168936400000003.0,24
67,StarLight,160755785000006.0,170755785000006.0,14
68,StarLight,169409610000004.0,180409610000004.0,30
69,StarLight,172340545000004.0,187340545000004.0,20
70,StarLight,181576540000006.0,193576540000006.0,26
71,StarLight,188212755000005.0,200212755000005.0,20
72,StarLight,200473005000001.0,214473005000001.0,38
73,StarLight,214619415000007.0,225619415000007.0,44
74,StarLight,226155175000007.0,236155175000007.0,24
75,StarLight,225878730000007.0,236878730000007.0,13
76,StarLight,237204065000008.0,249204065000008.0,24
77,StarLight,238981415000008.0,250981415000008.0,13
78,StarLight,250300035000002.0,260300035000002.0,30
79,StarLight,252781415000009.0,264781415000009.0,20
80,StarLight,261030915000009.0,274030915000009.0,28
81,StarLight,278482850000009.0,296482850000009.0,26
82,StarLight,289010325000006.0,306010325000006.0,22
83,StarLight,298137365000006.0,308137365000006.0,22
84,StarLight,309420325000008.0,319420325000008.0,44
85,StarLight,319765560000003.0,338765560000003.0,34
86,StarLight,339022050000012.0,353022050000012.0,20
87,StarLight,340118720000012.0,358118720000012.0,22
