,Node,Start_time,End_time,Memory_size
0,NU,1500000000000.0,18500000000000.0,11
1,NU,17006115000001.0,27006115000001.0,11
2,NU,28012450000001.0,47012450000001.0,10
3,NU,33230720000001.0,52230720000001.0,10
4,NU,48538620000002.0,66538620000002.0,11
5,NU,53430720000002.0,68430720000002.0,11
6,NU,67365915000002.0,78365915000002.0,14
7,NU,69730720000003.0,88730720000003.0,10
8,NU,96626770000003.0,109626770000003.0,10
9,NU,96958580000004.0,109958580000004.0,11
10,NU,111861410000003.0,128861410000003.0,20
11,NU,129249960000006.0,147249960000006.0,13
12,NU,129977035000005.0,144977035000005.0,11
13,NU,147279145000006.0,160279145000006.0,15
14,NU,150584470000003.0,160584470000003.0,10
15,NU,160483830000007.0,176483830000007.0,11
16,NU,162473200000005.0,175473200000005.0,10
17,NU,176973200000006.0,189973200000006.0,10
18,NU,191373200000007.0,203373200000007.0,10
19,NU,196964890000008.0,212964890000008.0,11
20,NU,205273200000008.0,220273200000008.0,10
21,NU,213705915000010.0,226705915000010.0,10
22,NU,226477175000009.0,238477175000009.0,10
23,NU,226901180000008.0,237901180000008.0,10
24,NU,239977175000010.0,251977175000010.0,11
25,NU,253677175000011.0,270677175000011.0,11
26,NU,272577175000012.0,286577175000012.0,10
27,NU,288377175000013.0,306377175000013.0,10
28,NU,292329180000013.0,310329180000013.0,10
29,NU,307477175000014.0,326477175000014.0,10
30,NU,311414500000012.0,323414500000012.0,11
31,NU,323784775000012.0,338784775000012.0,11
32,NU,328277175000015.0,343277175000015.0,10
33,NU,338814500000014.0,356814500000014.0,10
34,NU,343728940000014.0,356728940000014.0,13
35,NU,357677175000016.0,376677175000016.0,10
36,NU,360406850000014.0,372406850000014.0,10
37,NU,378377175000017.0,391377175000017.0,10
38,NU,391922940000013.0,402922940000013.0,11
39,NU,392577175000018.0,410577175000018.0,10
40,NU,403223440000017.0,421223440000017.0,10
41,NU,411124940000021.0,423124940000021.0,10
42,NU,421277175000019.0,431277175000019.0,11
43,NU,423288930000016.0,440288930000016.0,11
44,NU,437799375000020.0,447799375000020.0,11
45,NU,441588930000017.0,451588930000017.0,11
46,NU,449099375000021.0,465099375000021.0,10
47,NU,453437180000022.0,464437180000022.0,10
48,NU,472720755000022.0,487720755000022.0,10
49,NU,477027345000023.0,488027345000023.0,11
50,NU,489620755000023.0,508620755000023.0,10
51,NU,499637180000025.0,514637180000025.0,11
52,NU,508663770000021.0,524663770000021.0,10
53,NU,514820755000024.0,530820755000024.0,10
54,NU,540243235000025.0,550243235000025.0,10
55,NU,545723940000025.0,559723940000025.0,11
56,NU,552043235000026.0,563043235000026.0,10
57,NU,560543975000028.0,570543975000028.0,11
58,NU,564843235000027.0,581843235000027.0,10
59,NU,582217060000026.0,597217060000026.0,19
60,NU,597443235000028.0,615443235000028.0,10
61,NU,598313780000025.0,616313780000025.0,11
62,NU,616659720000027.0,628659720000027.0,10
63,NU,616443235000029.0,630443235000029.0,10
64,NU,633450195000030.0,649450195000030.0,10
65,NU,649956560000016.0,662956560000016.0,23
66,NU,667461935000031.0,677461935000031.0,10
67,NU,678561935000032.0,688561935000032.0,10
68,NU,685123420000029.0,697123420000029.0,10
69,NU,689861935000033.0,707861935000033.0,10
70,NU,698214015000031.0,715214015000031.0,11
71,NU,709261935000034.0,727261935000034.0,10
72,NU,728223420000032.0,742223420000032.0,10
73,NU,732572175000035.0,747572175000035.0,10
74,NU,744123420000033.0,760123420000033.0,11
75,NU,748972175000036.0,763972175000036.0,11
76,NU,765872175000037.0,777872175000037.0,11
77,NU,772214015000035.0,783214015000035.0,11
78,NU,779572175000038.0,792572175000038.0,10
79,NU,796080055000039.0,814080055000039.0,11
80,NU,807545665000037.0,819545665000037.0,10
81,NU,815180055000040.0,833180055000040.0,10
82,NU,824459080000030.0,837459080000030.0,12
83,NU,834280055000041.0,850280055000041.0,10
84,NU,838351925000041.0,856351925000041.0,11
85,NU,850352340000038.0,864352340000038.0,11
86,NU,856380055000042.0,868380055000042.0,11
87,NU,864931900000036.0,876931900000036.0,12
88,NU,868385585000042.0,883385585000042.0,10
89,NU,877980055000043.0,892980055000043.0,10
90,NU,887858780000025.0,898858780000025.0,14
91,NU,894354545000042.0,907354545000042.0,10
92,NU,901056965000031.0,916056965000031.0,13
93,NU,910791620000044.0,926791620000044.0,10
94,NU,928391620000045.0,942391620000045.0,10
95,NU,950212500000046.0,960212500000046.0,11
96,NU,961712500000047.0,978712500000047.0,11
97,NU,976701260000047.0,995701260000047.0,11
98,NU,979812500000048.0,989812500000048.0,10
99,NU,995623740000049.0,1012623740000049.0,10
100,NU,999158380000043.0,1010158380000043.0,15
101,StarLight,1500000000000.0,18500000000000.0,22
102,StarLight,17006115000001.0,27006115000001.0,22
103,StarLight,19133270000000.0,33133270000000.0,13
104,StarLight,20221270000000.0,35221270000000.0,20
105,StarLight,28012450000001.0,47012450000001.0,20
106,StarLight,28906115000002.0,39906115000002.0,25
107,StarLight,33230720000001.0,52230720000001.0,20
108,StarLight,40623270000001.0,53623270000001.0,22
109,StarLight,47708800000003.0,58708800000003.0,22
110,StarLight,48538620000002.0,66538620000002.0,22
111,StarLight,53430720000002.0,68430720000002.0,22
112,StarLight,55023270000002.0,73023270000002.0,20
113,StarLight,61948390000001.0,78948390000001.0,11
114,StarLight,67365915000002.0,78365915000002.0,28
115,StarLight,69730720000003.0,88730720000003.0,20
116,StarLight,73227595000004.0,88227595000004.0,32
117,StarLight,81451075000002.0,96451075000002.0,17
118,StarLight,96626770000003.0,109626770000003.0,20
119,StarLight,96958580000004.0,109958580000004.0,22
120,StarLight,110465915000005.0,121465915000005.0,56
121,StarLight,111861410000003.0,128861410000003.0,20
122,StarLight,122565915000006.0,139565915000006.0,17
123,StarLight,129249960000006.0,147249960000006.0,26
124,StarLight,129977035000005.0,144977035000005.0,22
125,StarLight,134570845000004.0,150570845000004.0,12
126,StarLight,145172245000007.0,162172245000007.0,34
127,StarLight,147279145000006.0,160279145000006.0,30
128,StarLight,150584470000003.0,160584470000003.0,20
129,StarLight,160483830000007.0,176483830000007.0,22
130,StarLight,162229270000005.0,181229270000005.0,20
131,StarLight,162473200000005.0,175473200000005.0,20
132,StarLight,165964890000006.0,177964890000006.0,10
133,StarLight,176973200000006.0,189973200000006.0,20
134,StarLight,182529270000006.0,198529270000006.0,20
135,StarLight,191373200000007.0,203373200000007.0,10
136,StarLight,192607645000005.0,211607645000005.0,10
137,StarLight,194522910000008.0,210522910000008.0,26
138,StarLight,196964890000008.0,212964890000008.0,22
139,StarLight,200229270000007.0,218229270000007.0,11
140,StarLight,205273200000008.0,220273200000008.0,20
141,StarLight,212421760000008.0,225421760000008.0,35
142,StarLight,213705915000010.0,226705915000010.0,20
143,StarLight,221207645000006.0,238207645000006.0,29
144,StarLight,226477175000009.0,238477175000009.0,20
